verb,cluster,id,status,text
absorb,nonliteral,wsj02:2251,U,"Another option will be to try to curb the growth in education and other local assistance , which absorbs 66 % of the state 's budget "
absorb,nonliteral,wsj03:2839,N,"But in the short-term it will absorb a lot of top management 's energy and attention , '' says Philippe Haspeslagh , a business professor at the European management school , Insead , in Paris "
assault,nonliteral,wsj08:9070,U,"On Tuesday , AIDS demonstrators assaulted the headquarters building of the Food and Drug Administration outside Washington "
assault,nonliteral,wsj11:7585,U,"At least six people were assaulted"
attack,nonliteral,wsj06:1068,N,"Then two industry trade groups sued the state , attacking the lemon law 's constitutionality "
attack,nonliteral,wsj07:1228,N,"And so it is on the grounds of insufficient candor that the resourceful Mr. Goldman , hot to debunk , attacks his subject "
besiege,nonliteral,wsj01:1150,N,"Powelson from another classicist at the University of Maryland , and then Powelson began to besiege me with letters asking for an invitation , '' Mr. Ambrose says "
besiege,nonliteral,wsj01:1817,N,"NTN Toyo Bearing Co . , a Japanese firm with plants in the U.S . , is being besieged by potential buyers and has lead times of seven to 13 months "
cool,nonliteral,wsj03:10367,N,"October employment report , implying that the economy is n't cooling off as fast as many investors had hoped , could force a sharp retreat in stock prices today , he said "
cool,nonliteral,wsj05:9379,N,"The last time China tried to cool its economy , in 1985 and 1986 , foreign exporters and investors suffered "
dance,nonliteral,wsj47:7234,N,"He just might dance into the 1990s"
dance,nonliteral,wsj63:10214,N,"He proposed what ministers in many countries have only danced around -- movement toward a global fixed-rate system , possibly linked to gold "
destroy,nonliteral,wsj01:11069,N,"Mr. Davis openly has a bone to pick with urban renewal , but this hardly seems a prejudice on his part: Urban renewal did in fact come into Fulton and systematically destroyed the old neighborhood , and there was n't anything subtle about it "
destroy,nonliteral,wsj03:8538,N,"Any company in this market that hiccups is just destroyed"
die,nonliteral,wsj25:2844,N,"Long term , he says Newnam will live or die on its efforts to stress quality "
die,nonliteral,wsj25:8543,N,"Thus , while government officials concede apartheid must die , they ca n't bring themselves to kill it "
dissolve,nonliteral,wsj10:2973,N,"In the extreme we have revolution , where the existing social contract is dissolved "
dissolve,nonliteral,wsj24:9148,N,"Puma spokesman Uto Duethorn said Mr. Becker and Puma mutually agreed to dissolve the agreement this month"
drag,nonliteral,wsj05:10929,N,"GM 's sales were apparently dragged down by a lackluster performance at its Chevrolet division , which saw sales drop 6 % "
drag,nonliteral,wsj10:5597,N,"Tokyo rally concentrated in railways and banks helped indexes trim their losses , but electrical stocks , which fell sharply early in the afternoon session and dragged the indexes with them , failed to recover "
